,Title,Published_date,Views,Likes,Comments,Month
159,Reviewing Your Data Science Projects - Episode 14 [Deep Learning Focus],2020-08-03,5156,192,56,Aug
160,My First Data Science Contracting Side-Gig (How I Did It),2020-07-31,11736,583,90,Jul
161,Do You Have a Data Science Mentor? (@Danny Ma) - KNN EP. 06,2020-07-30,2392,116,34,Jul
162,Reviewing Your Data Science Projects - Episode 13 (BONUS LinkedIn Review),2020-07-27,6108,261,112,Jul
163,Building a Deep Learning BEAST (NVIDIA TITAN RTX + RYZEN 3900X),2020-07-24,8526,247,198,Jul
164,Is it Important to Share Your Data Science Work? (Ft. Eric Weber),2020-07-22,1897,96,27,Jul
165,Reviewing Your Data Science Resumes - Episode 12 (3 Different Resumes!),2020-07-20,29477,560,90,Jul
166,Beginner Kaggle Data Science Project Walk-Through (Titanic),2020-07-17,414149,8619,457,Jul
167,Uber Driver to Machine Learning Engineer in 9 Months! (@Daniel Bourke) - KNN EP. 05,2020-07-16,30846,1126,118,Jul
168,Reviewing Your Data Science Projects - Episode 11(GITHUB CLEANING),2020-07-13,3828,133,50,Jul
169,The Best Computer for Data Science Beginners,2020-07-10,40567,868,159,Jul
170,Should You Major in Data Science? (Jaemin Lee) - KNN EP. 04,2020-07-08,6212,228,82,Jul
171,Critiquing MY OWN Data Science Resume,2020-07-06,12937,397,85,Jul
172,Where to Start Learning Data Science,2020-07-03,19431,789,125,Jul
173,"Data Science Productivity, Motivation, and Organization (ft. Data Professor & Codebasics)",2020-07-01,4335,200,33,Jul
174,Reviewing Your Data Science Projects - Episode 10 (Leveraging Your Data),2020-06-29,4829,182,52,Jun
175,How to Get a Data Science Job at FAANG (@Data Science Jay) - KNN EP. 03,2020-06-26,17024,554,77,Jun
176,Reviewing Your Data Science Projects - Episode 9 (Professional Violinist),2020-06-22,2466,82,40,Jun
177,"Ken Jee Q & A Live Stream (50,000 Sub Special!)",2020-06-20,2408,136,49,Jun
178,Reviewing Your Data Science Projects - Episode 8 (College Student Help),2020-06-15,4475,168,46,Jun
179,Why You're Struggling to Learn Data Science,2020-06-12,15436,998,159,Jun
180,Reviewing Your Data Science Projects - Episode 7 (Incredible Portfolio Website),2020-06-08,12411,364,70,Jun
181,The State of Data Science with Krish Naik & The Data Professor [Panel Discussion],2020-06-05,25210,704,145,Jun
182,Reviewing Your Data Science Projects - Episode 6 (Only 3 months of coding experience),2020-06-01,5760,154,53,Jun
183,How to Build a Data Science Portfolio Website with Hugo & Github Pages [feat. Data Professor],2020-05-29,80715,2290,277,May
184,Reviewing Your Data Science Projects - Episode 5 (Very Detailed Project),2020-05-25,21079,487,81,May
185,Different Data Science Roles Explained (by a Data Scientist),2020-05-22,58310,2028,178,May
186,Reviewing Your Data Science Projects - Episode 4 (Resume & Github),2020-05-18,11500,180,53,May
187,How to Make A Data Science Portfolio Website with Github Pages,2020-05-15,144781,4651,194,May
188,10000 Subscriber and 100th Video Special (Data Science),2020-05-13,3115,145,115,May
189,Reviewing Your Data Science Projects - Episode 3 (Student Portfolio),2020-05-11,4634,157,74,May
190,How I Would Learn Data Science (If I Had to Start Over),2020-05-08,1406487,48816,1986,May
191,Reviewing Your Data Science Projects - Episode 2 (Resume and Portfolio),2020-05-04,5725,200,42,May
192,What You Need to Know for a Data Science Internship,2020-05-01,23281,1216,60,May
193,Reviewing Your Data Science Projects - Episode 1 (Exploratory Analysis),2020-04-27,8649,352,53,Apr
194,What It's Like to be a Socially Distanced Data Scientist (A Day in the Life),2020-04-24,15028,452,99,Apr
195,Data Science in Sports - Talk for Northwestern (Kellogg) MBA Students,2020-04-22,3279,87,24,Apr
196,5 Tips for Crushing the Work From Home Life,2020-04-20,5514,199,38,Apr
197,Data Science Project from Scratch - Part 7 (Documenting Your Work),2020-04-17,23995,769,129,Apr
198,Data Science Project from Scratch -  Part 6 (Putting the Model into Production),2020-04-15,32337,760,99,Apr
199,Data Science Project from Scratch  - Part 5 (Model Building),2020-04-13,48124,947,151,Apr
200,Data Science Project from Scratch - Part 4 (Exploratory Data Analysis),2020-04-10,77955,1959,215,Apr
201,Data Science Project from Scratch - Part 3 (Data Cleaning),2020-04-08,87599,1831,278,Apr
202,Data Science Project from Scratch - Part 2 (Data Collection),2020-04-06,142677,3713,630,Apr
203,Data Science Project from Scratch - Part 1 (Project Planning),2020-04-03,224114,5447,174,Apr
204,When Data Science Goes Wrong,2020-03-30,1841,107,30,Mar
205,How to ULTRALEARN Data Science,2020-03-27,62581,3797,169,Mar
206,Why Right NOW is a Great Time to Learn Data Science,2020-03-23,4544,268,50,Mar
207,Data Science Project Example Start to Finish (Deep Learning Image Classifier),2020-03-20,14489,480,45,Mar
208,The Secret Data Scientists Don't Want You to Know,2020-03-16,11143,1142,100,Mar
209,The 5 Stages of Learning Data Science,2020-03-13,17793,1289,70,Mar
210,Can You Learn Data Science Without a Computer?,2020-03-11,2207,142,14,Mar
211,The Best Free Data Science Courses Nobody is Talking About,2020-03-09,353232,21244,620,Mar
212,The Data Science Projects that Got Me a Job,2020-03-06,42180,1395,41,Mar
213,How to Integrate Data Science into Your Business,2020-03-02,3493,130,16,Mar
214,The Problem with Data Science,2020-02-28,3874,150,18,Feb
215,How Much Did Cheating Help the Astros Win? (What the Numbers Say),2020-02-24,1248,44,16,Feb
216,How to Set Up Your Data Science Environment (Anaconda Beginner),2020-02-21,149247,2706,95,Feb
217,3 Proven Data Science Projects for Beginners (Kaggle),2020-02-17,337434,17944,526,Feb
218,Data Science Advice for College Students,2020-02-14,69488,1963,195,Feb
219,Avoid These Data Science Resume Mistakes!,2020-02-10,29149,1247,60,Feb
220,Data Science Explained with ... Cooking?,2020-02-07,5729,314,48,Feb
221,The 4 Types of Sports Analytics Projects,2020-02-03,35387,1113,65,Feb
222,Data Science in Golf: PGA Merchandise Show 2020,2020-01-31,654,19,13,Jan
223,How I Learned Data Science,2020-01-27,94705,2677,209,Jan
224,What is Sports Analytics Really?,2020-01-20,24273,667,75,Jan
225,Data Science Certificate vs Bootcamp vs Masters Degree,2020-01-18,114986,3178,576,Jan
226,How To Learn Programming for Data Science [3 Steps],2020-01-13,30397,1980,96,Jan
227,Data Science Fundamentals: SQL Queries,2020-01-10,7122,225,35,Jan
228,Questions You Should Ask Your Data Science Interviewers,2020-01-06,3199,148,14,Jan
229,The 9 Books That Changed My Perspective in 2019,2020-01-03,3421,176,25,Jan
230,The Data Science Interview: What to Expect,2019-12-30,8773,381,32,Dec
231,5 Data Science Resolutions for 2020,2019-12-27,483,24,12,Dec
232,How to Scrape NBA Data Using the nba_api Python Module,2019-12-23,19589,671,95,Dec
233,Collision Course: Sports Betting + Data Science,2019-12-20,21676,565,27,Dec
234,3 Reasons You Should NOT Become a Data Scientist,2019-12-16,101177,2906,202,Dec
235,5 Sports Analytics Books to Get You Started,2019-12-13,12158,447,60,Dec
236,Math Needed for Mastering Data Science,2019-12-09,58604,2892,215,Dec
237,The 5 Stages of Data Science Adoption,2019-12-06,1398,68,17,Dec
238,How YOU Can Land a Sports Analytics Job,2019-12-02,77352,3284,228,Dec
239,Data Science Fundamentals: Linear Regression,2019-11-29,6712,175,42,Nov
240,Golf: Would You Rather Be the LONGEST or STRAIGHTEST Driver on the PGA Tour?,2019-11-25,1323,54,12,Nov
241,Sports Analytics 101: The Pythagorean Theorem of Sports,2019-11-22,7408,293,27,Nov
242,9 Ways You Can Make Extra Income as a Data Scientist,2019-11-18,47108,1753,79,Nov
243,Applying Data Science To My YouTube Data: My Surprising Findings,2019-11-11,6049,139,31,Nov
244,Why Selling Is An Important Data Science Skill,2019-11-04,1719,80,13,Nov
245,By The Numbers: Where Should The NBA Put a 4 Point Line?,2019-10-21,3264,75,18,Oct
246,Why is Balance Important in Data Science?,2019-10-16,745,35,13,Oct
247,How to Stay Productive & Motivated When Learning Data Science,2019-09-29,12182,580,56,Sep
248,How Far Should the NBA 3-Point Line Actually Be?,2019-09-21,4738,127,41,Sep
249,6 Habits of Successful Data Scientists,2019-09-13,2317,99,17,Sep
250,How To Build A Word Cloud From Scraped Data (Python),2019-09-04,5409,113,10,Sep
251,Thank You For The Support | What's Next | Ken Jee | Data Science,2019-08-26,529,23,29,Aug
252,Is Data Science Right For You?,2019-08-18,53910,1207,109,Aug
253,Data Science Fundamentals: Data Cleaning in Python,2019-08-11,15566,397,55,Aug
254,How To Get Data Science Experience (Without a Job),2019-08-08,30171,1389,77,Aug
255,Take Your Data Science Projects From Good to Great,2019-08-05,1671,109,11,Aug
256,The Projects You Should Do To Get A Data Science Job,2019-07-30,157699,5769,251,Jul
257,What Does a Data Scientist Actually Do?,2019-07-19,56714,1361,77,Jul
258,Data Science Fundamentals: Data Manipulation in Python (Pandas),2019-07-13,13702,361,44,Jul
259,Data Science Fundamentals: Data Exploration in Python (Pandas),2019-07-05,19033,546,61,Jul
260,Data Science: Pros and Cons,2019-06-30,5847,231,18,Jun
261,How I Got My First Data Science Internship (And How You Can Land One),2019-06-21,27061,1260,89,Jun
262,My Top 5 Data Science Internship Tips,2019-06-15,12413,505,24,Jun
263,Golf STATS: Strokes Gained Explained,2019-06-07,8795,172,32,Jun
264,Most Data Science Hopefuls Overlook This Important Skill,2019-05-25,630,44,5,May
265,What I Learned From My Three Degrees,2019-05-17,1314,60,12,May
266,I Wish I Had Known THIS Before Starting in Data Science,2019-05-14,25744,1059,66,May
267,NASA Physicist Turned Data Scientist (Tim Bowling) - KNN EP. 02,2019-05-05,1295,39,2,May
268,Should You Learn R for Data Science?,2019-04-25,22728,574,72,Apr
269,Scrape Twitter Data in Python with Twitterscraper Module,2019-04-18,46884,841,321,Apr
270,Work From Home Data Scientist: Day in the Life,2019-04-12,28496,754,101,Apr
271,Where to Look for Data Science Jobs,2019-03-29,3060,116,9,Mar
272,Data Science: Startup vs. Large Corporation,2019-03-21,2513,79,4,Mar
273,"Data Science, Machine Learning, and AI: What's the Difference?",2019-03-16,6567,174,26,Mar
274,Was Captain Marvel Bad? A Sentiment Analysis of Twitter Data,2019-03-09,4338,179,15,Mar
275,Why You DON'T Want to be a WFH Data Scientist,2019-03-03,849,32,12,Mar
276,Welcome To My Channel | Ken Jee | Data Science,2019-03-03,1701,33,8,Mar
277,Where YOU Should Start With Data Science Projects,2019-02-19,19425,373,20,Feb
278,Watch This Before Applying to Data Science Jobs,2019-02-04,1539,64,13,Feb
279,My Top 5 Data Science Resources for 2019,2019-01-05,3815,120,15,Jan
280,IT'S NOT TOO LATE TO LEARN CODE!,2018-12-18,865,34,6,Dec
281,The Best Way to Predict NBA Minutes Played,2018-12-11,5803,129,15,Dec
282,Demystifying Data Science Roles,2018-11-30,1175,51,5,Nov
283,How to Simulate NBA Games in Python,2018-11-19,19225,416,50,Nov
284,Should You Get A Masters in Data Science?,2018-11-14,20957,302,133,Nov
285,How I Became A Data Scientist From a Business Background,2018-11-12,6750,200,23,Nov
286,Predicting Season Long NBA Wins Using Multiple Linear Regression,2018-07-10,9446,196,17,Jul
287,Predicting Crypto-Currency Price Using RNN lSTM & GRU,2017-11-18,19666,297,40,Nov
